Academic period,Number,Relation: Relation ID
Second Semester 2019,4,74
Second Semester 2019,3,78
Second Semester 2019,1,153
Second Semester 2019,1,156
Second Semester 2019,1,1465
Second Semester 2010,1,32
First Semester 2019,1,1214
Second Semester 2019,2,1411
Second Semester 2019,3,1412
Second Semester 2019,1,569
Second Semester 2019,1,1409
Second Semester 2019,2,683
Period 2019-13,2,1492
Second Semester 2019,2,309
First Semester 2020,2,309
Second Semester 2019,3,274
First Semester 2020,4,274
First Semester 2020,1,62
Second Semester 2019,1,42
Second Semester 2019,2,544
Second Semester 2019,1,996
Second Semester 2019,2,710
Second Semester 2019,1,32
First Semester 2020,3,1381
First Semester 2020,2,96
Second Semester 2019,2,136
Second Semester 2019,2,762
Second Semester 2019,8,118
First Semester 2020,4,118
Second Semester 2018,1,1607
First Semester 2019,1,1607
Second Semester 2019,2,1607
First Semester 2020,2,1607
Second Semester 2018,1,1608
First Semester 2019,1,1608
Second Semester 2019,2,1608
First Semester 2020,2,1608
First Semester 2019,2,1609
Second Semester 2019,2,1609
First Semester 2019,2,1610
Second Semester 2019,1,1610
Second Semester 2018,2,1611
First Semester 2019,2,1611
Second Semester 2019,1,1611
Second Semester 2018,2,1612
First Semester 2019,2,1612
Second Semester 2019,2,1612
Second Semester 2018,1,1613
First Semester 2019,1,1613
Second Semester 2019,2,1613
First Semester 2020,2,1613
Second Semester 2018,1,1614
First Semester 2019,1,1614
Second Semester 2019,2,1614
First Semester 2020,2,1614
Second Semester 2018,3,1615
First Semester 2019,3,1615
Second Semester 2019,2,1615
Second Semester 2018,3,1616
First Semester 2019,3,1616
Second Semester 2019,3,1616
Second Semester 2018,2,1617
First Semester 2019,2,1617
Second Semester 2019,1,1617
Second Semester 2018,2,1618
First Semester 2019,2,1618
Second Semester 2019,1,1618
Second Semester 2018,2,1619
First Semester 2019,2,1619
Second Semester 2019,3,1619
Second Semester 2018,2,1620
First Semester 2019,2,1620
Second Semester 2019,1,1620
Second Semester 2018,2,1621
First Semester 2019,2,1621
Second Semester 2019,2,1621
First Semester 2020,1,1621
Second Semester 2018,2,1622
First Semester 2019,2,1622
Second Semester 2019,1,1622
First Semester 2020,1,1622
Second Semester 2018,7,1623
First Semester 2019,7,1623
Second Semester 2019,2,1623
Second Semester 2018,7,1624
First Semester 2019,7,1624
Second Semester 2019,6,1624
Second Semester 2018,3,1625
First Semester 2019,3,1625
Second Semester 2018,3,1626
First Semester 2019,3,1626
Second Semester 2018,1,1627
First Semester 2019,1,1627
Second Semester 2019,2,1627
Second Semester 2018,1,1628
First Semester 2019,1,1628
Second Semester 2019,1,1628
First Semester 2019,1,1629
Second Semester 2019,2,1629
First Semester 2020,2,1629
First Semester 2019,1,1630
Second Semester 2019,2,1630
First Semester 2020,2,1630
Second Semester 2018,6,1631
First Semester 2019,2,1631
Second Semester 2019,1,1631
Second Semester 2018,2,1632
First Semester 2019,2,1632
Second Semester 2019,2,1632
Second Semester 2018,2,1633
First Semester 2019,2,1633
Second Semester 2019,2,1633
Second Semester 2018,1,1636
First Semester 2019,1,1636
Second Semester 2019,2,1636
Second Semester 2018,1,1637
First Semester 2019,1,1637
Second Semester 2019,1,1637
Second Semester 2019,2,1605
Period 2019-13,1,698
Second Semester 2019,3,698
Period 2019-13,1,1607
Period 2019-13,1,1613
Second Semester 2019,2,64
Second Semester 2019,1,522
Period 2019-13,1,1621
Period 2019-13,1,1596
Second Semester 2019,3,1596
Period 2019-13,1,1600
Second Semester 2019,2,1600
Second Semester 2019,2,900
Second Semester 2019,3,1506
Second Semester 2019,1,1625
First Semester 2019,1,1638
Second Semester 2019,3,1638
First Semester 2020,1,1638
Second Semester 2019,2,1604
Period 2019-13,1,1636
First Semester 2019,1,1639
Second Semester 2019,3,1639
First Semester 2020,1,1639
Second Semester 2019,1,789
Second Semester 2019,2,657
Second Semester 2019,1,199
Second Semester 2019,4,207
Second Semester 2019,5,984
Second Semester 2019,2,1097
First Semester 2020,4,1667
Second Semester 2020,2,1667
First Semester 2020,1,683
Second Semester 2020,2,683
First Semester 2020,4,119
First Semester 2020,4,1087
Second Semester 2020,4,1087
First Semester 2020,4,945
First Semester 2020,8,1392
Second Semester 2020,8,1392
Second Semester 2019,1,1209
First Semester 2020,2,413
First Semester 2020,2,51
First Semester 2020,4,1248
First Semester 2020,1,32
First Semester 2020,2,887
First Semester 2020,1,1496
First Semester 2020,3,211
First Semester 2020,2,71
First Semester 2020,7,981
First Semester 2020,2,149
First Semester 2020,1,968
First Semester 2020,2,1062
First Semester 2020,4,733
First Semester 2020,3,13
First Semester 2020,2,225
First Semester 2020,1,953
First Semester 2020,1,1716
First Semester 2020,1,16
First Semester 2020,1,1532
First Semester 2020,2,1287
First Semester 2020,2,531
First Semester 2020,2,498
First Semester 2020,5,114
First Semester 2020,5,513
First Semester 2020,4,846
First Semester 2020,4,519
First Semester 2020,4,462
First Semester 2020,1,383
First Semester 2020,2,786
Second Semester 2020,2,786
First Semester 2020,1,652
First Semester 2020,1,1353
Second Semester 2020,1,1353
First Semester 2020,1,371
Second Semester 2020,1,371
First Semester 2020,5,619
Second Semester 2020,5,619
First Semester 2020,2,525
Second Semester 2020,2,525
First Semester 2020,2,1461
Second Semester 2020,2,1461
First Semester 2020,3,1241
Second Semester 2020,2,1241
First Semester 2020,1,1247
Second Semester 2020,1,1247
First Semester 2020,1,1242
Second Semester 2020,1,1242
First Semester 2020,2,1245
Second Semester 2020,2,1245
First Semester 2020,1,1246
Second Semester 2020,1,1246
First Semester 2020,3,1243
Second Semester 2020,4,1243
First Semester 2020,1,1244
Second Semester 2020,1,1244
First Semester 2020,1,756
Second Semester 2020,1,756
First Semester 2020,5,184
First Semester 2020,1,692
First Semester 2020,3,139
First Semester 2020,1,716
First Semester 2020,2,874
First Semester 2020,2,871
First Semester 2020,1,156
Second Semester 2020,1,156
First Semester 2020,1,153
First Semester 2020,1,153
First Semester 2020,3,159
Second Semester 2020,3,159
First Semester 2020,1,1474
First Semester 2020,1,1473
First Semester 2020,1,1475
First Semester 2020,1,271
Second Semester 2020,1,271
Second Semester 2020,1,541
First Semester 2020,1,1465
Second Semester 2020,1,997
Second Semester 2020,1,996
Second Semester 2020,1,996
First Semester 2020,2,74
Second Semester 2020,2,74
Second Semester 2020,2,855
Second Semester 2020,1,830
First Semester 2020,1,1754
Second Semester 2020,2,39
First Semester 2020,2,503
First Semester 2020,2,623
First Semester 2020,4,207
First Semester 2020,1,473
First Semester 2020,2,852
First Semester 2020,2,611
First Semester 2020,2,842
First Semester 2020,1,1470
First Semester 2020,1,92
First Semester 2020,7,926
First Semester 2020,1,306
First Semester 2020,3,984
First Semester 2020,1,516
First Semester 2020,3,195
First Semester 2020,2,1469
First Semester 2020,5,262
First Semester 2020,4,319
First Semester 2020,2,1519
First Semester 2020,2,596
First Semester 2020,1,818
First Semester 2020,2,804
First Semester 2020,2,1019
First Semester 2020,1,1285
First Semester 2020,2,762
First Semester 2020,2,768
First Semester 2020,2,765
First Semester 2020,1,1672
First Semester 2020,2,1013
Second Semester 2020,2,1013
First Semester 2020,3,78
Second Semester 2018,3,1793
First Semester 2019,3,1793
Second Semester 2019,3,1793
Second Semester 2018,2,1795
First Semester 2019,2,1795
First Semester 2020,2,1795
Second Semester 2020,2,1795
First Semester 2020,3,1024
Second Semester 2020,5,184
First Semester 2020,3,1661
Second Semester 2020,3,1661
First Semester 2020,2,322
First Semester 2020,4,837
Second Semester 2020,6,837
First Semester 2020,1,921
Second Semester 2020,1,921
First Semester 2020,1,1644
Second Semester 2020,2,1644
First Semester 2020,1,379
Second Semester 2020,1,379
First Semester 2020,4,248
First Semester 2020,1,1471
First Semester 2020,2,1472
First Semester 2020,2,631
First Semester 2020,1,657
First Semester 2020,1,878
First Semester 2020,1,572
First Semester 2020,5,558
First Semester 2020,2,1028
First Semester 2020,5,349
Second Semester 2018,2,1796
First Semester 2019,2,1796
Second Semester 2019,2,1796
First Semester 2020,2,754
First Semester 2020,2,747
First Semester 2020,1,1128
First Semester 2020,1,1124
First Semester 2020,2,1301
First Semester 2020,1,627
First Semester 2020,2,771
First Semester 2020,2,528
First Semester 2020,2,1091
First Semester 2020,1,300
First Semester 2020,1,781
First Semester 2020,1,42
First Semester 2020,1,1503
First Semester 2020,1,242
First Semester 2020,2,603
First Semester 2020,3,639
First Semester 2020,5,89
First Semester 2020,1,136
First Semester 2020,1,1068
First Semester 2020,2,555
Second Semester 2019,2,1802
Second Semester 2019,2,1803
First Semester 2020,4,862
Inter-semester 2019,30,1100
Inter-semester 2019,2,1749
Inter-semester 2019,1,1740
Inter-semester 2019,3,1023
Inter-semester 2019,1,1337
First Semester 2020,2,1805
First Semester 2020,2,1806
First Semester 2020,2,1810
First Semester 2020,2,1808
First Semester 2020,2,1807
First Semester 2020,2,1809
First Semester 2020,1,1819
First Semester 2020,1,1824
First Semester 2020,1,1822
First Semester 2020,1,1818
First Semester 2020,1,1820
First Semester 2020,1,1823
First Semester 2020,1,1821
First Semester 2020,2,1802
First Semester 2020,1,1005
First Semester 2020,1,1006
First Semester 2020,1,1011
First Semester 2020,1,1009
First Semester 2020,1,1010
First Semester 2020,1,1007
First Semester 2020,1,1004
First Semester 2020,2,908
First Semester 2020,1,1008
,8,1392
First Semester 2020,2,1839
Second Semester 2020,2,1839
First Semester 2020,2,1014
First Semester 2020,2,834
First Semester 2020,2,834
Inter-semester 2019,2,1836
Inter-semester 2019,1,1838
First Semester 2020,1,713
Second Semester 2018,1,1843
First Semester 2020,7,686
First Semester 2020,2,67
Second Semester 2018,1,1857
First Semester 2019,1,1857
Second Semester 2018,5,1880
First Semester 2019,5,1880
First Semester 2020,1,736
Second Semester 2018,5,1892
First Semester 2019,5,1892
Second Semester 2018,5,1893
First Semester 2019,5,1893
Second Semester 2018,5,1894
First Semester 2019,5,1894
Second Semester 2018,5,1895
First Semester 2019,5,1895
,2,1294
Second Semester 2019,2,1893
Second Semester 2019,3,1892
Second Semester 2019,3,1894
Second Semester 2019,4,1880
Second Semester 2019,4,783
Second Semester 2019,2,1895
,1,1925
,1,1926
First Semester 2020,5,668
First Semester 2020,2,688
,2,1943
Second Semester 2020,1,1943
,2,1856
Second Semester 2020,1,1856
,2,1945
,2,1944
,2,1946
Second Semester 2020,1,1946
,2,1947
Second Semester 2020,1,1947
,2,1948
,2,1949
First Semester 2020,2,346
First Semester 2020,3,1430
,1,1994
,1,1995
First Semester 2020,1,1995
,4,2019
Second Semester 2020,3,242
Second Semester 2020,1,23
Second Semester 2020,3,1381
Second Semester 2020,1,652
Second Semester 2020,2,346
Second Semester 2020,2,67
Second Semester 2020,3,668
Second Semester 2020,2,688
Second Semester 2020,1,692
Second Semester 2020,1,716
Second Semester 2020,2,51
Second Semester 2020,2,1430
Second Semester 2020,3,139
Second Semester 2020,2,1248
Second Semester 2020,1,453
Second Semester 2020,1,1995
Second Semester 2020,4,445
Second Semester 2020,2,874
Second Semester 2020,4,248
Second Semester 2020,2,878
Second Semester 2020,1,473
Second Semester 2020,2,887
Second Semester 2020,3,119
Second Semester 2020,1,1754
Second Semester 2020,1,1128
Second Semester 2020,2,84
Second Semester 2020,1,1716
Second Semester 2020,1,1532
Second Semester 2020,2,871
Second Semester 2020,3,639
Second Semester 2020,1,572
Second Semester 2020,2,623
Second Semester 2020,2,635
Second Semester 2020,1,1496
Second Semester 2020,1,627
Second Semester 2020,1,57
Second Semester 2020,5,558
Second Semester 2020,7,868
Second Semester 2020,2,96
Second Semester 2020,2,603
Second Semester 2020,5,349
Second Semester 2020,2,771
Second Semester 2020,4,862
Second Semester 2020,2,611
Second Semester 2020,2,596
Second Semester 2020,2,498
Second Semester 2020,3,78
Second Semester 2020,5,114
