Academic period,Number,Relation: Relation ID
Second Semester 2020,2,4058
First Semester 2020,2,4058
First Semester 2021,1,4058
,3,4065
,3,4066
Second Semester 2018,3,4069
First Semester 2019,2,4069
Second Semester 2019,2,4069
First Semester 2020,5,4069
Second Semester 2020,5,4069
,1,4069
,1,4070
Second Semester 2018,3,4070
First Semester 2019,2,4070
Second Semester 2019,2,4070
First Semester 2020,5,4070
Second Semester 2020,5,4070
,1,4071
,1,4072
,1,4075
,1,4076
,3,1114
,3,1115
,2,84
,1,4085
,1,4086
,1,4087
,1,4088
,1,4089
,1,4090
,1,4091
,1,4092
,1,4093
,1,4094
,1,4095
,1,4096
,1,4115
,1,4116
,7,4117
,7,4118
,1,183
,1,184
First Semester 2022,2,379
First Semester 2022,2,346
First Semester 2022,2,3430
First Semester 2022,1,680
First Semester 2022,6,139
First Semester 2022,2,2145
First Semester 2022,2,2145
Second Semester 2018,3,4119
First Semester 2019,3,4119
Second Semester 2019,3,4119
,1,4119
,1,4120
Second Semester 2018,3,4120
First Semester 2019,3,4120
Second Semester 2019,3,4120
,2,1793
,2,1024
,1,4121
,1,4122
,1,1129
,1,1128
,1,4123
,1,4124
,1,1475
,1,4125
Second Semester 2018,6,4125
First Semester 2019,2,4125
Second Semester 2019,2,4125
Second Semester 2020,1,4125
First Semester 2020,1,4125
,1,736
,1,4126
Second Semester 2018,6,4126
First Semester 2019,2,4126
Second Semester 2019,2,4126
First Semester 2020,1,4126
,1,4127
Second Semester 2018,6,4127
First Semester 2019,2,4127
Second Semester 2019,2,4127
First Semester 2020,1,4127
,1,4128
Second Semester 2018,6,4128
First Semester 2019,2,4128
Second Semester 2019,2,4128
First Semester 2020,1,4128
,1,4129
,1,4130
,1,1474
,1,4131
Second Semester 2018,6,4131
First Semester 2019,2,4131
Second Semester 2019,1,4131
First Semester 2020,1,4131
Second Semester 2020,1,4131
Second Semester 2021,1,4131
First Semester 2022,4,51
First Semester 2022,2,306
First Semester 2022,2,1248
First Semester 2022,3,453
First Semester 2022,2,422
First Semester 2022,2,214
First Semester 2022,2,1676
First Semester 2022,3,948
First Semester 2022,1,1995
First Semester 2022,2,2856
First Semester 2022,1,2483
First Semester 2022,1,403
First Semester 2022,1,2480
First Semester 2022,2,13
First Semester 2022,3,887
First Semester 2022,4,395
First Semester 2022,2,119
First Semester 2022,2,830
First Semester 2022,6,837
First Semester 2022,2,1716
First Semester 2022,4,1667
First Semester 2022,1,2170
First Semester 2022,1,1475
First Semester 2022,2,623
First Semester 2022,1,1474
First Semester 2022,3,603
First Semester 2022,1,1011
First Semester 2022,1,1010
First Semester 2022,2,1004
First Semester 2022,2,1006
First Semester 2022,2,1007
First Semester 2022,2,1008
First Semester 2022,2,611
First Semester 2022,1,1503
First Semester 2022,2,2262
First Semester 2022,2,2094
First Semester 2022,5,2432
First Semester 2022,5,3442
First Semester 2022,2,998
First Semester 2022,9,580
First Semester 2022,2,62
First Semester 2022,2,342
First Semester 2022,1,1661
First Semester 2022,3,1062
First Semester 2022,2,862
First Semester 2022,1,1519
First Semester 2022,1,968
First Semester 2022,3,1532
First Semester 2022,1,2198
First Semester 2022,3,1496
First Semester 2022,2,1839
,2,4135
,2,4136
First Semester 2022,2,1679
First Semester 2022,2,589
First Semester 2022,1,2194
First Semester 2022,1,16
First Semester 2022,5,1287
,2,4137
First Semester 2022,1,584
First Semester 2022,4,3324
First Semester 2022,2,1016
,2,4138
,2,4139
First Semester 2022,1,2231
,2,4140
First Semester 2022,1,525
,2,4141
First Semester 2022,5,503
,2,4142
First Semester 2022,2,984
,2,4143
First Semester 2022,1,544
,2,4144
Second Semester 2018,6,4145
First Semester 2019,2,4145
Second Semester 2019,1,4145
,1,4145
,1,1631
,1,4146
Second Semester 2018,6,4146
First Semester 2019,2,4146
Second Semester 2019,2,4146
Second Semester 2020,1,4146
First Semester 2020,1,4146
,1,4147
Second Semester 2018,6,4147
First Semester 2019,2,4147
Second Semester 2019,2,4147
Second Semester 2020,1,4147
First Semester 2020,1,4147
,1,4148
Second Semester 2020,1,4148
,1,4149
Second Semester 2020,1,4149
First Semester 2022,1,4136
First Semester 2022,1,4140
First Semester 2022,1,4144
First Semester 2022,1,3785
First Semester 2022,1,74
First Semester 2022,2,538
First Semester 2022,2,1241
First Semester 2022,1,531
First Semester 2022,2,1247
First Semester 2022,2,1242
First Semester 2022,2,114
First Semester 2022,1,756
First Semester 2022,1,319
First Semester 2022,2,498
First Semester 2022,2,322
First Semester 2022,1,156
First Semester 2022,4,89
First Semester 2022,1,153
First Semester 2022,1,1806
First Semester 2022,4,1083
First Semester 2022,1,1285
First Semester 2022,4,159
First Semester 2022,4,2089
First Semester 2022,5,981
First Semester 2022,3,555
First Semester 2022,2,1759
First Semester 2022,1,1818
First Semester 2022,2,1823
First Semester 2022,1,2421
First Semester 2022,3,3350
First Semester 2022,4,1087
First Semester 2022,1,1000
First Semester 2022,2,2208
First Semester 2022,1,1810
First Semester 2022,1,1392
First Semester 2022,2,4122
First Semester 2022,3,64
First Semester 2022,1,1617
First Semester 2022,2,1509
First Semester 2022,1,1623
First Semester 2022,2,3744
First Semester 2022,3,3769
First Semester 2022,1,2295
First Semester 2022,2,2595
,1,1184
,1,4177
Second Semester 2019,1,4178
,1,4179
,1,4180
,1,1794
,1,1195
,1,4184
,1,4185
,1,4189
,1,4190
,1,4193
,1,4194
,2,4197
,2,4198
,3,4199
,3,4200
,1,3029
,1,4210
,2,1843
,20,4211
,20,4132
,,4210
,1,4212
First Semester 2022,4,2497
,10,4214
,10,4215
,10,4216
,10,4217
,10,4222
,1,4231
,1,4236
,1,1755
,1,1754
,1,3820
,1,3819
,8,4242
,3,627
,3,626
,3,4243
,3,4244
,1,4245
,1,4246
,2,670
,2,4402
,1,4403
,1,4404
,2,273
,3,4406
,2,4409
,3,4412
,3,4413
,1,4414
,1,4415
,2,4416
,1,4417
,1,4418
,3,4421
,,4422
,1,4422
,1,3697
,1,4423
Second Semester 2018,1,4423
First Semester 2019,1,4423
Second Semester 2019,1,4423
First Semester 2020,1,4423
Second Semester 2020,1,4423
First Semester 2021,0,4423
,1,4424
,3,571
,3,572
,2,3777
,2,3778
,2,211
,2,210
,1,1616
,1,1615
,1,4425
,1,4426
,1,786
,1,4431
,1,4432
,1,4433
,1,4434
,1,4435
,1,4436
,1,4437
,1,4438
,1,4439
,1,4440
,1,1125
,1,2163
,1,2141
,1,4441
,1,4442
,1,4443
,1,886
,1,887
,1,4444
,1,4445
,2,1811
,2,1805
,2,1812
,2,1814
,2,1808
,2,1815
,2,1810
,2,1816
,2,1809
,2,1813
,2,1807
,4,4446
,2,4448
,2,1806
,1,1091
,4,51
,4,50
,3,4450
,3,4451
,2,1241
,2,4457
Second Semester 2018,1,4457
First Semester 2019,1,4457
First Semester 2020,3,4457
Second Semester 2020,2,4457
First Semester 2021,2,4457
First Semester 2022,2,4457
,1,4460
,1,4461
,1,4462
,1,4463
Second Semester 2018,1,4463
First Semester 2019,1,4463
Second Semester 2020,2,4463
First Semester 2020,2,4463
First Semester 2021,1,4463
Second Semester 2021,2,4463
,1,4464
Second Semester 2018,1,4464
First Semester 2019,1,4464
Second Semester 2020,2,4464
First Semester 2020,2,4464
First Semester 2021,1,4464
Second Semester 2021,2,4464
,5,4465
,1,4466
Second Semester 2018,1,4466
First Semester 2019,1,4466
Second Semester 2020,2,4466
First Semester 2020,2,4466
First Semester 2021,1,4466
Second Semester 2021,2,4466
,1,4467
Second Semester 2018,1,4467
First Semester 2019,1,4467
First Semester 2020,1,4467
Second Semester 2020,1,4467
Second Semester 2021,2,4467
First Semester 2021,2,4467
First Semester 2022,2,4467
,1,4468
Second Semester 2018,1,4468
First Semester 2019,1,4468
First Semester 2020,1,4468
Second Semester 2020,1,4468
First Semester 2000,2,4468
,1,4469
Second Semester 2018,1,4469
First Semester 2019,1,4469
First Semester 2020,1,4469
Second Semester 2020,1,4469
Second Semester 2021,1,4469
First Semester 2021,2,4469
First Semester 2022,1,4469
,1,582
,1,4470
Second Semester 2018,1,4470
First Semester 2019,1,4470
First Semester 2020,1,4470
Second Semester 2020,1,4470
First Semester 2022,2,4470
,1,4471
,1,4473
,1,4474
Second Semester 2018,5,4474
First Semester 2019,5,4474
Second Semester 2019,5,4474
Second Semester 2020,2,4474
First Semester 2022,1,4474
,1,4475
,1,4476
Second Semester 2018,5,4476
First Semester 2019,5,4476
Second Semester 2019,5,4476
Second Semester 2020,2,4476
First Semester 2022,1,4476
,1,4477
Second Semester 2018,1,4477
First Semester 2019,1,4477
Second Semester 2020,1,4477
First Semester 2020,1,4477
First Semester 2021,2,4477
First Semester 2021,2,4477
,1,4478
Second Semester 2018,1,4478
First Semester 2019,6,4478
First Semester 2020,3,4478
Second Semester 2020,4,4478
First Semester 2021,4,4478
Second Semester 2021,3,4478
,1,4479
Second Semester 2018,7,4479
First Semester 2019,7,4479
Second Semester 2019,7,4479
Second Semester 2020,2,4479
Second Semester 2021,1,4479
,1,4480
Second Semester 2018,1,4480
Second Semester 2020,2,4480
First Semester 2022,2,4480
,1,4481
Second Semester 2018,1,4481
Second Semester 2020,2,4481
First Semester 2022,2,4481
,1,4483
,1,4484
,1,4485
,1,4486
,1,4487
,1,4488
,1,4489
,1,4490
,2,1628
,2,1627
,2,967
,2,968
,1,4491
Second Semester 2018,2,4491
Second Semester 2021,2,4491
First Semester 2021,2,4491
First Semester 2022,2,4491
,2,32
,2,31
,1,4492
Second Semester 2018,2,4492
First Semester 2019,2,4492
Second Semester 2019,1,4492
Second Semester 2020,1,4492
Second Semester 2021,1,4492
,2,4495
,2,4496
,3,531
,3,530
,2,4499
,2,4500
,2,4501
,2,4502
,6,981
,6,980
,2,1623
,2,1624
,2,4506
,4,4507
,1,2264
Second Semester 2020,2,4508
First Semester 2022,5,4508
,1,4508
,1,333
,1,331
,1,2768
,1,2770
,1,330
,1,332
,1,1529
,1,1530
,1,4529
,1,4532
,1,4533
,1,4546
,4,4559
,4,4560
,4,4561
,2,4567
,2,4568
,1,4576
,1,4582
Second Semester 2022,3,195
Second Semester 2020,3,3835
First Semester 2023,4,403
Second Semester 2022,1,1754
Second Semester 2022,1,16
Second Semester 2022,2,498
Second Semester 2022,2,1019
Second Semester 2022,2,1759
Second Semester 2022,1,4115
Second Semester 2022,4,2905
Second Semester 2022,5,503
Second Semester 2022,2,510
Second Semester 2022,2,871
Second Semester 2022,1,1529
Second Semester 2022,1,51
Second Semester 2022,1,572
Second Semester 2022,2,4441
Second Semester 2022,2,3324
Second Semester 2022,2,1496
Second Semester 2022,1,1014
Second Semester 2022,2,1128
Second Semester 2022,2,62
Second Semester 2022,1,1926
Second Semester 2022,1,1672
Second Semester 2022,1,71
Second Semester 2022,1,78
Second Semester 2022,1,42
Second Semester 2022,1,561
Second Semester 2022,1,887
Second Semester 2022,1,1839
Second Semester 2022,3,84
Second Semester 2022,2,1287
Second Semester 2022,1,558
Second Semester 2022,1,1515
Second Semester 2022,5,580
Second Semester 2022,1,582
Second Semester 2022,2,531
Second Semester 2022,6,981
Second Semester 2022,2,2145
Second Semester 2022,2,733
Second Semester 2022,4,1532
Second Semester 2022,1,188
Second Semester 2022,2,1024
Second Semester 2022,1,996
Second Semester 2022,1,232
Second Semester 2022,1,1519
Second Semester 2022,1,248
Second Semester 2022,2,2111
Second Semester 2022,7,262
Second Semester 2022,1,277
Second Semester 2022,1,1397
Second Semester 2022,2,2060
Second Semester 2022,2,4413
Second Semester 2022,2,322
Second Semester 2022,5,680
Second Semester 2022,4,3822
Second Semester 2022,2,674
Second Semester 2022,1,695
Second Semester 2022,0,1083
Second Semester 2022,3,852
Second Semester 2022,4,516
Second Semester 2022,2,905
Second Semester 2022,2,342
Second Semester 2022,1,1503
Second Semester 2022,3,1062
Second Semester 2022,1,1474
Second Semester 2022,1,736
Second Semester 2022,2,1679
Second Semester 2022,4,1667
Second Semester 2022,1,740
Second Semester 2022,1,1995
Second Semester 2022,2,2844
Second Semester 2022,2,379
Second Semester 2022,2,611
Second Semester 2022,1,2259
Second Semester 2022,1,2262
Second Semester 2022,1,2198
Second Semester 2022,1,4069
Second Semester 2022,1,3775
Second Semester 2022,8,837
Second Semester 2022,3,4421
Second Semester 2022,2,453
Second Semester 2022,1,968
Second Semester 2022,1,3029
Second Semester 2022,1,462
Second Semester 2022,1,1465
Second Semester 2022,1,3993
Second Semester 2022,1,3064
Second Semester 2022,1,1028
Second Semester 2022,3,184
Second Semester 2022,1,2231
Second Semester 2022,2,1392
Second Semester 2022,2,3310
Second Semester 2022,1,331
Second Semester 2022,2,1856
Second Semester 2022,3,555
Second Semester 2022,1,1867
Second Semester 2022,2,349
Second Semester 2022,1,1471
Second Semester 2022,1,1470
Second Semester 2022,1,1472
Second Semester 2022,5,1661
Second Semester 2022,1,2485
Second Semester 2022,1,2494
Second Semester 2022,1,2496
Second Semester 2022,1,2422
Second Semester 2022,1,2480
Second Semester 2022,1,2490
Second Semester 2022,1,2482
Second Semester 2022,1,2421
Second Semester 2022,1,2425
Second Semester 2022,1,2487
Second Semester 2022,1,2491
Second Semester 2022,6,2432
Second Semester 2022,1,2481
Second Semester 2022,1,2492
Second Semester 2022,1,2489
Second Semester 2022,2,2488
Second Semester 2022,1,2493
Second Semester 2022,1,2484
Second Semester 2022,1,2430
Second Semester 2022,1,2495
Second Semester 2022,1,2486
Second Semester 2022,3,3323
Second Semester 2022,2,1091
Second Semester 2022,2,1716
Second Semester 2022,2,1124
Second Semester 2022,2,2157
Second Semester 2022,1,4086
Second Semester 2022,1,4089
Second Semester 2022,1,4091
Second Semester 2022,1,13
Second Semester 2022,2,32
Second Semester 2022,2,623
Second Semester 2022,3,1301
Second Semester 2022,3,627
Second Semester 2022,2,74
Second Semester 2022,2,665
Second Semester 2022,1,3358
Second Semester 2022,1,3360
Second Semester 2022,1,3362
Second Semester 2022,2,3364
Second Semester 2022,1,3369
Second Semester 2022,1,3371
Second Semester 2022,1,3373
Second Semester 2022,2,1292
Second Semester 2022,4,89
Second Semester 2022,2,998
Second Semester 2022,1,1000
Second Semester 2022,1,911
Second Semester 2022,2,1468
Second Semester 2022,2,2170
Second Semester 2022,2,2208
Second Semester 2022,1,584
Second Semester 2022,1,586
Second Semester 2022,1,589
Second Semester 2022,3,789
Second Semester 2022,3,2179
Second Semester 2022,1,786
Second Semester 2022,5,657
Second Semester 2022,2,4008
Second Semester 2022,1,1818
Second Semester 2022,1,1819
Second Semester 2022,1,1820
Second Semester 2022,1,1821
Second Semester 2022,1,1822
Second Semester 2022,1,1823
Second Semester 2022,1,1824
Second Semester 2022,1,3350
Second Semester 2022,1,3344
Second Semester 2022,1,3341
Second Semester 2022,1,3339
Second Semester 2022,1,4072
Second Semester 2022,1,3337
Second Semester 2022,1,3333
Second Semester 2022,3,119
Second Semester 2022,2,1805
Second Semester 2022,1,153
Second Semester 2022,3,159
Second Semester 2022,2,4451
Second Semester 2022,5,2210
Second Semester 2022,3,4402
Second Semester 2022,1,1248
Second Semester 2022,1,1285
Second Semester 2022,2,2856
Second Semester 2022,1,501
Second Semester 2022,3,211
Second Semester 2022,2,214
Second Semester 2022,1,1257
Second Semester 2022,1,874
Second Semester 2022,1,4434
Second Semester 2022,2,242
Second Semester 2022,1,4488
Second Semester 2022,2,3135
Second Semester 2022,3,4446
Second Semester 2022,2,306
Second Semester 2022,1,1011
Second Semester 2022,2,1008
Second Semester 2022,2,1009
Second Semester 2022,1,1010
Second Semester 2022,1,1005
Second Semester 2022,2,1006
Second Semester 2022,2,1007
Second Semester 2022,2,1004
Second Semester 2022,2,878
Second Semester 2022,2,3024
Second Semester 2022,5,1802
Second Semester 2022,2,756
Second Semester 2022,2,1241
Second Semester 2022,2,1242
Second Semester 2022,2,1243
Second Semester 2022,2,1244
Second Semester 2022,2,1245
Second Semester 2022,2,1246
Second Semester 2022,2,4460
Second Semester 2022,2,4461
Second Semester 2022,2,4462
Second Semester 2022,2,4466
Second Semester 2022,2,4467
Second Semester 2022,2,3781
Second Semester 2022,2,3785
Second Semester 2022,2,3786
Second Semester 2022,2,4136
Second Semester 2022,2,4137
Second Semester 2022,2,4140
Second Semester 2022,2,4142
Second Semester 2022,2,4144
Second Semester 2022,2,688
Second Semester 2022,1,4439
Second Semester 2022,2,2089
Second Semester 2022,1,1431
Second Semester 2022,2,547
Second Semester 2022,2,1016
Second Semester 2022,2,538
Second Semester 2022,2,535
Second Semester 2022,2,2094
Second Semester 2022,1,525
Second Semester 2022,1,1461
Second Semester 2022,2,346
Second Semester 2022,3,3442
Second Semester 2022,2,3764
Second Semester 2022,1,3246
Second Semester 2022,1,3424
Second Semester 2022,2,1676
Second Semester 2022,2,4484
Second Semester 2022,2,3430
Second Semester 2022,2,834
Second Semester 2022,2,422
Second Semester 2022,1,4435
Second Semester 2022,1,4438
Second Semester 2022,2,1806
Second Semester 2022,2,1807
Second Semester 2022,2,1808
Second Semester 2022,2,1809
Second Semester 2022,2,1810
Second Semester 2022,3,1276
Second Semester 2022,1,997
Second Semester 2022,4,225
Second Semester 2022,2,1644
,1,4585
Second Semester 2022,5,2497
Second Semester 2022,2,4508
Second Semester 2022,1,4585
First Semester 2022,8,3814
First Semester 2023,,453
First Semester 2023,1,4421
First Semester 2023,1,119
Inter-semester 2022,5,1023
,2,4613
,3,4617
,1,4620
,6,4621
,2,4622
,2,4629
,2,4630
,1,785
,1,3349
,1,749
,1,750
,1,119
,2,4632
,2,4633
,5,813
Second Semester 2022,2,762
,1,3058
,1,3058
,2,665
,2,664
,1,1608
,1,1607
,1,4640
,1,4641
,1,680
,1,4642
,1,4643
,1,679
,1,2839
Second Semester 2022,1,2753
Second Semester 2022,1,1506
Second Semester 2022,1,1604
Second Semester 2022,1,64
Second Semester 2022,1,1325
,1,4649
Second Semester 2022,2,4649
,1,4650
,1,500
,1,501
,1,518
,1,521
,1,522
,1,3175
,1,3176
,1,3174
,1,996
,1,95
,1,4652
Second Semester 2020,1,4652
,1,4653
Second Semester 2020,1,4653
,1,4657
,1,4658
,1,4659
,1,4660
,1,4662
,1,4663
,1,4664
,1,4665
,1,1014
,1,1796
,1,1626
,1,1625
,1,4671
,1,4672
,1,4673
,2,302
,1,4675
,1,4676
,1,4677
,1,4678
Second Semester 2022,1,1764
Second Semester 2022,1,2839
,1,512
,1,144
,1,2697
,1,2700
,1,284
,1,285
,1,877
,1,878
,1,3024
,1,4687
First Semester 2019,1,4687
Second Semester 2019,1,4687
First Semester 2020,1,4687
Second Semester 2020,2,4687
First Semester 2021,2,4687
Second Semester 2022,2,4687
,1,4688
First Semester 2019,1,4688
Second Semester 2019,1,4688
First Semester 2020,1,4688
Second Semester 2020,2,4688
First Semester 2021,2,4688
Second Semester 2022,2,4688
,1,4689
First Semester 2019,1,4689
Second Semester 2019,1,4689
First Semester 2020,1,4689
Second Semester 2020,2,4689
First Semester 2021,2,4689
Second Semester 2022,2,4689
,1,318
,1,319
,1,145
,1,1644
,1,1645
,1,4691
,1,4692
,1,639
,1,3707
,1,4696
Second Semester 2021,2,4696
,5,208
,1,4700
,1,4701
,5,1345
,5,1344
,5,1344
,1,4704
,1,1392
,1,1339
,1,2702
,1,2508
,4,1803
,4,1802
,1,4705
,1,4706
,1,57
,1,56
,1,1614
,1,1613
,1,1867
,1,62
,1,61
,1,4707
,8,394
,2,1617
,8,395
,1,4710
,1,4711
,1,739
,1,740
,3,4717
,3,4718
,2,4719
,2,4720
,2,4726
,2,4727
,1,695
,1,694
Second Semester 2022,1,3261
First Semester 2023,,3261
First Semester 2023,,3064
,1,1772
,1,4728
,1,1792
,1,4729
,1,4730
Inter-semester 2022,2,4617
,1,3
,1,2
Second Semester 2022,5,3860
Second Semester 2022,10,486
,1,4741
,1,4742
,1,4743
,1,4744
,1,712
,1,713
,1,513
,2,274
,1,4753
Second Semester 2018,1,4753
First Semester 2019,1,4753
Second Semester 2019,1,4753
Second Semester 2022,1,4753
,1,4754
Second Semester 2022,4,274
First Semester 2023,0,274
,1,1461
,1,4755
,1,4756
First Semester 2023,0,2905
First Semester 2023,1,1465
First Semester 2023,1,997
First Semester 2023,1,997
,1,74
,1,4759
,1,4760
,1,383
First Semester 2021,1,383
Second Semester 2022,2,383
,2,1087
,2,4766
First Semester 2019,3,4766
Second Semester 2019,3,4766
Second Semester 2020,4,4766
First Semester 2020,4,4766
First Semester 2021,2,4766
First Semester 2022,4,4766
,1,3768
,1,3769
,1,4769
,1,4770
,1,4771
,1,4772
,1,4773
,1,4774
,1,4775
,1,4776
,1,4778
,1,4779
,1,4780
,1,4781
,1,4783
,1,4784
,1,4786
,1,4788
,2,2433
,1,4794
,2,4797
,1,4802
,2,4805
,2,4806
,1,1819
,1,1825
,1,1818
,1,1828
,2,4808
,1,754
,1,753
,4,4809
,4,4810
,2,141
,1,4814
,1,4815
Second Semester 2018,2,4815
First Semester 2019,2,4815
Second Semester 2019,2,4815
First Semester 2020,2,4815
Second Semester 2020,2,4815
First Semester 2021,1,4815
First Semester 2022,2,4815
Second Semester 2022,2,4815
,1,686
,2,4842
,2,4843
,1,798
,1,799
,1,4845
,1,4847
,1,1820
,1,1829
,1,1821
,1,1831
,1,1822
,1,1827
,1,1823
,1,1830
,1,1824
,1,1826
,1,4848
,1,4849
First Semester 2023,3,834
First Semester 2023,0,510
