Relation: Name,Academic year,Academic period,Number,Total duration,Time unit,Relation: Relation type,Relation: Direction,Relation: Status,Relation: Subject area,Relation: Level,Relation: Degree programme,Relation: Relation ID,Remaining seats,Relation: External institutions
CINDA-Exchange Student Undergraduate-Universidad Austral de Chile-Universidad de los Andes-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Medicine|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Other Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,2480,0,Universidad Austral de Chile
CINDA-Exchange Student Undergraduate-Universidad de Talca-Universidad de los Andes-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Systems and Computing Engineering Bsc|| Mathematics Minor|| State and Law Minor|| Digital Narrative Bsc|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,2490,1,Universidad de Talca
CINDA-Exchange Student Undergraduate-Instituto Tecnológico de Santo Domingo-Universidad de los Andes-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,2482,1,Instituto Tecnológico de Santo Domingo
CINDA-Exchange Student Undergraduate-Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM)-Universidad de los Andes-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Medicine|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Other Bsc|| Food Engineering,2421,0,"Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM), Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara"
CINDA-Exchange Student Undergraduate-Pontificia Universidad Católica del Perú-Universidad de los Andes-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Other Bsc|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,2425,0,Pontificia Universidad Católica del Perú
CINDA-Exchange Student Undergraduate-Universidad de Lima-Universidad de los Andes-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Design Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,2487,1,Universidad de Lima
CINDA-Exchange Student Undergraduate-Universidad del Pacífico-Universidad de los Andes-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Chemistry Bsc|| Design Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,2491,1,"Universidad del Pacífico, Lima"
CINDA-Exchange Student Undergraduate-Universitat Politècnica de Catalunya-Universidad de los Andes-Outgoing,2022,Second Semester 2022,6,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Medicine|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,2432,0,"Universitat Politècnica de Catalunya, Universitat Politècnica de Catalunya - EAE Business School, Universitat Politècnica de Catalunya - Escola d'Enginyeria de Barcelona Est (EEBE), Universitat Politècnica de Catalunya - Escola Tècnica Superior d'Arquitectura de Barcelona (ETSAB), Universitat Politècnica de Catalunya - Escola Tècnica Superior d'Enginyeria de Telecomunicació de Barcelona (ETSETB), Universitat Politècnica de Catalunya - Escola Tècnica Superior d'Enginyeria de Telecomunicació i Aeroespacial de Catelldefels (EETAC), Universitat Politècnica de Catalunya - Escola Tècnica Superior d'Enginyeria Industrial de Barcelona (ETSEIB), Universitat Politècnica de Catalunya - Escola Tècnica Superior d'Enginyers de Camins, Canals i Ports de Barcelona (ETSECCPB), Universitat Politècnica de Catalunya - Facultad d'Informàtica de Barcelona (FIB), Universitat Politècnica de Catalunya - Fundació Politècnica de Catalunya (FPC)"
CINDA-Exchange Student Undergraduate-Escuela Superior Politecnica del Litoral-Universidad de los Andes-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| Systems and Computing Engineering Bsc|| Education Minor|| Digital Narrative Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,2481,1,Escuela Superior Politecnica del Litoral
"CINDA-Exchange Student Undergraduate-Universidad Metropolitana, Venezuela-Universidad de los Andes-Outgoing",2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| Systems and Computing Engineering Bsc|| Photography Minor|| Philosophy Minor|| Digital Narrative Bsc|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,2492,1,"Universidad Metropolitana, Venezuela"
CINDA-Exchange Student Undergraduate-Universidad de Panamá-Universidad de los Andes-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Other Bsc|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,2489,1,Universidad de Panamá
CINDA-Exchange Student Undergraduate-Universidad de Málaga-Universidad de los Andes-Outgoing,2022,Second Semester 2022,2,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Medicine|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Other Bsc|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,2488,0,Universidad de Málaga
CINDA-Exchange Student Undergraduate-Universidad Peruana Cayetano Heredia-Universidad de los Andes-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemistry Bsc|| Environmental Engineering Bsc|| Design Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,2493,1,Universidad Peruana Cayetano Heredia
CINDA-Exchange Student Undergraduate-Pontificia Universidad Católica Madre y Maestra-Universidad de los Andes-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| Systems and Computing Engineering Bsc|| Chinese Language and Culture Minor|| Digital Narrative Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,2484,1,Pontificia Universidad Católica Madre y Maestra
CINDA-Universidad Nacional de Río Negro-Universidad de los Andes-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Terminated,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,2430,1,Universidad Nacional de Río Negro
CINDA-Exchange Student Undergraduate-Universidad Simón Bolívar-Universidad de los Andes-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| Medicine|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,2495,1,Universidad Simón Bolívar
CINDA-Exchange Student Undergraduate-Universidad Católica del Uruguay-Universidad de los Andes-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Chemistry Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| Systems and Computing Engineering Bsc|| Design Minor|| Digital Narrative Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,2486,0,Universidad Católica del Uruguay
Exchange Student Undergraduate-Associação Escola da Cidade-School of Architechture and Design-Outgoing,2022,Second Semester 2022,3,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Architecture Bsc|| Design Bsc,3323,3,Associação Escola da Cidade
Exchange Student Undergraduate-University of Groningen-School of Economics-Outgoing,2022,Second Semester 2022,2,"1,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Economics Bsc,1091,0,Rijksuniversiteit Groningen
Exchange Student Undergraduate-Aalto-Yliopisto University-School of Management - Outgoing,2022,Second Semester 2022,2,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,1716,2,[no longer existing] Aalto-yliopisto
Exchange Student Undergraduate-Aix Marseille Université-Physics Department-Outgoing,2022,Second Semester 2022,2,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Physics Bsc,1124,2,Aix-Marseille Université
Exchange Student Undergraduate-Aix Marseille Université-Systems Engineering Department-Outgoing,2022,Second Semester 2022,2,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Systems and Computing Engineering Bsc,2157,2,Aix-Marseille Université
Exchange Student Undergraduate-Kozminski University-School of Law-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Law Bsc,4086,0,Akademia Leona Koźmińskiego
Exchange Student Undergraduate-Kozminski University-School of Economics-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Economics Bsc,4089,1,Akademia Leona Koźmińskiego
Exchange Student Undergraduate-Kozminski University-School of Management-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,4091,1,Akademia Leona Koźmińskiego
Exchange Student Undergraduate-Aston University-School of Management-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,13,0,Aston University
Exchange Student Undergraduate-BI Handelshøyskolen-School of Management-Outgoing,2022,Second Semester 2022,2,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,32,1,BI Handelshøyskolen
Exchange Student Undergraduate-Ecole Nationale Supérieure d'Architecture de Grenoble-School of Architecture and Design-Outgoing,2022,Second Semester 2022,2,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Architecture Bsc,623,0,Ecole Nationale Supérieure d'Architecture de Grenoble
Exchange Student Undergraduate-Ecole Nationale Supérieure de l'Electonique et de ses Applications (ENSEA)-School of Engineering-Outgoing,2022,Second Semester 2022,3,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Electronic Engineering Bsc|| Mechanical Engineering Bsc|| Systems and Computing Engineering Bsc,1301,3,Ecole Nationale Supérieure de l'Electronique et de ses Applications
Exchange Student Undergraduate-ENSTA Bretagne-School of Engineering-Outgoing,2022,Second Semester 2022,3,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Electronic Engineering Bsc|| Industrial Engineering Bsc|| Mechanical Engineering Bsc|| Systems and Computing Engineering Bsc,627,3,"ENSTA Bretagne, École Nationale Supérieure de Techniques Avancées "
Exchange Student Undergraduate-Freie Universität Berlin-Universidad de los Andes-Outgoing,2022,Second Semester 2022,2,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Design Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,74,1,"Freie Universität Berlin, Lateinamerika Institut-Freie Universität Berlin"
Exchange Student Undergraduate-FGV-Escola de Administracão de Empresas de São Paulo-School of Management-Outgoing,2022,Second Semester 2022,2,"1,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Administration Bsc,665,2,"Fundação Getulio Vargas, Fundação Getulio Vargas - Escola de Administracão de Empresas de São Paulo"
SMILE-Exchange Student Undergraduate-Grenoble-INP-Department of Electrical and Electronic-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Electrical Engineering Bsc|| Electronic Engineering Bsc,3358,1,Grenoble INP - UGA
SMILE-Exchange Student Undergraduate-Grenoble-INP-Department of Industrial-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Industrial Engineering Bsc,3360,0,Grenoble INP - UGA
SMILE-Exchange Student Undergraduate-Grenoble-INP-Department of Systems and Computing-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Systems and Computing Engineering Bsc,3362,1,Grenoble INP - UGA
SMILE-Exchange Student Undergraduate-Grenoble-INP-Department of Civil-Outgoing,2022,Second Semester 2022,2,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Civil Engineering Bsc,3364,2,Grenoble INP - UGA
SMILE-Exchange Student Undergraduate-Grenoble-INP-Department of Biomedical-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Biomedical Engineering Bsc,3369,1,Grenoble INP - UGA
SMILE-Exchange Student Undergraduate-Grenoble-INP-Department of Mechanical -Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Mechanical Engineering Bsc,3371,0,Grenoble INP - UGA
SMILE-Exchange Student Undergraduate-Grenoble-INP-Department of Chemical-Outgoing,2022,Second Semester 2022,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Chemical Engineering Bsc,3373,0,Grenoble INP - UGA
Exchange Student Undergraduate-Jönköping University Business School-School of Management-Outgoing,2022,Second Semester 2022,2,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,1292,2,Jönköping University
