Relation: Name,Academic year,Academic period,Number,Total duration,Time unit,Relation: Relation type,Relation: Direction,Relation: Status,Relation: Subject area,Relation: Level,Relation: Degree programme,Relation: Relation ID,Remaining seats,Relation: External institutions
Exchange Student Undergraduate-Centro de Investigación y Docencia Económicas CIDE-Universidad de los Andes-Outgoing,2018,Second Semester 2018,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Government and Public Policy Bsc|| History Bsc|| Political Science Bsc|| Economics Bsc|| Law Bsc,1019,2,Centro de Investigación y Docencia Económicas
Exchange Student Undergraduate-Centro de Investigación y Docencia Económicas CIDE-Universidad de los Andes-Outgoing,2019,First Semester 2019,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Government and Public Policy Bsc|| History Bsc|| Political Science Bsc|| Economics Bsc|| Law Bsc,1019,2,Centro de Investigación y Docencia Económicas
Exchange Student Undergraduate-Eberhard Karls Universität Tübingen-Universidad de los Andes-Outgoing,2018,Second Semester 2018,3,"3,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemistry Bsc|| Environmental Engineering Bsc|| Design Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Digital Narrative Bsc|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,503,2,Eberhard Karls Universität Tübingen
Exchange Student Undergraduate-Eberhard Karls Universität Tübingen-Universidad de los Andes-Outgoing,2019,First Semester 2019,3,"3,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemistry Bsc|| Environmental Engineering Bsc|| Design Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Digital Narrative Bsc|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,503,-1,Eberhard Karls Universität Tübingen
Exchange Student-EBS Business School-School of Management-Outgoing,2018,Second Semester 2018,1,"1,00",Academic period,Stay opportunity,Outgoing,Cancelled,,Undergraduate / Bachelor,Administration Bsc,507,0,"EBS Business School, EBS Universität für Wirtschaft und Recht"
Exchange Student-EBS Business School-School of Management-Outgoing,2019,First Semester 2019,0,"0,00",Academic period,Stay opportunity,Outgoing,Cancelled,,Undergraduate / Bachelor,Administration Bsc,507,0,"EBS Business School, EBS Universität für Wirtschaft und Recht"
Exchange Student Undergraduate-EBS Law School-School of Law-Outgoing,2018,Second Semester 2018,0,"0,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Law Bsc,510,0,"EBS Law School, EBS Universität für Wirtschaft und Recht"
Exchange Student Undergraduate-EBS Law School-School of Law-Outgoing,2019,First Semester 2019,0,"0,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Law Bsc,510,0,"EBS Law School, EBS Universität für Wirtschaft und Recht"
Exchange Student Undergraduate-ECAM Rennes-School of Engineering-Outgoing,2018,Second Semester 2018,3,"3,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Chemical Engineering Bsc|| Electronic Engineering Bsc|| Industrial Engineering Bsc|| Mechanical Engineering Bsc,871,3,ECAM Rennes
Exchange Student Undergraduate-ECAM Rennes-School of Engineering-Outgoing,2019,First Semester 2019,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Chemical Engineering Bsc|| Electronic Engineering Bsc|| Industrial Engineering Bsc|| Mechanical Engineering Bsc,871,2,ECAM Rennes
Exchange Student Undergraduate-École de Communication Visuelle-Department of Design-Outgoing,2018,Second Semester 2018,3,"3,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Design Bsc,639,3,École de Communication Visuelle Paris
Exchange Student Undergraduate-École de Communication Visuelle-Department of Design-Outgoing,2019,First Semester 2019,3,"3,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Design Bsc,639,2,École de Communication Visuelle Paris
Exchange Student Undergraduate-Ecole des Hautes Etudes Commerciales (HEC) de Montréal-School of Management-Outgoing,2018,Second Semester 2018,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,51,0,Ecole des Hautes Etudes Commerciales (HEC) de Montréal
Exchange Student Undergraduate-Ecole des Hautes Etudes Commerciales (HEC) de Montréal-School of Management-Outgoing,2019,First Semester 2019,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,51,0,Ecole des Hautes Etudes Commerciales (HEC) de Montréal
Exchange Student Undergraduate-Ecole Nationale Supérieure d'Architecture de Grenoble-School of Architecture and Design-Outgoing,2018,Second Semester 2018,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Architecture Bsc,623,2,Ecole Nationale Supérieure d'Architecture de Grenoble
Exchange Student Undergraduate-Ecole Nationale Supérieure d'Architecture de Grenoble-School of Architecture and Design-Outgoing,2019,First Semester 2019,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Architecture Bsc,623,1,Ecole Nationale Supérieure d'Architecture de Grenoble
Exchange Student Undergraduate-Erasmus Universiteit Rotterdam-School of Economics-Outgoing,2018,Second Semester 2018,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Economics Bsc,1014,2,Erasmus Universiteit Rotterdam
Exchange Student Undergraduate-Erasmus Universiteit Rotterdam-School of Economics-Outgoing,2019,First Semester 2019,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Economics Bsc,1014,0,Erasmus Universiteit Rotterdam
Exchange Student Undergraduate-ESSEC Business School-School of Management-Outgoing,2018,Second Semester 2018,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,62,1,ESSEC Business School
Exchange Student Undergraduate-ESSEC Business School-School of Management-Outgoing,2019,First Semester 2019,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,62,1,ESSEC Business School
Exchange Student-FAAP - Fundação Armando Álvares Penteado-Universidad de los Andes-Outgoing,2018,Second Semester 2018,2,"2,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Systems and Computing Engineering Bsc,67,2,FAAP - Fundação Armando Álvares Penteado
Exchange Student-FAAP - Fundação Armando Álvares Penteado-Universidad de los Andes-Outgoing,2019,First Semester 2019,2,"2,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Systems and Computing Engineering Bsc,67,0,FAAP - Fundação Armando Álvares Penteado
Exchange Student Undergraduate-Frankfurt School of Finance & Management-School of Management-Outgoing,2018,Second Semester 2018,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,71,1,Frankfurt School of Finance & Management
Exchange Student Undergraduate-Frankfurt School of Finance & Management-School of Management-Outgoing,2019,First Semester 2019,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,71,1,Frankfurt School of Finance & Management
Exchange Student Undergraduate-Freie Universität Berlin-Universidad de los Andes-Outgoing,2018,Second Semester 2018,4,"4,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Design Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,74,0,"Freie Universität Berlin, Lateinamerika Institut-Freie Universität Berlin"
